Feature,Coefficient
Store,-357.3689682345509
Holiday_Flag,37671.89758531392
Temperature,-1260.7134586751808
Fuel_Price,39148.02505162066
CPI,44.56960176901101
Unemployment,2768.300356009161
Year,-13887.990673264583
Month,49448.79335885262
Quarter,-14809.742272799562
Week,-6202.913629248737
DayOfWeek,1.8189894035458565e-11
Sales_Lag_1,0.05504384354818903
Sales_Lag_4,0.35253593911138525
Rolling_Mean_4,0.7241206495433491
Rolling_Mean_12,-0.039584335879505245
Rolling_STD_4,-1.188454736988416
Season_Fall,-65296.90378645836
Season_Spring,-1742.4463294773698
Season_Summer,-26787.13075389116
Season_Winter,93826.48086982689
